imagem_nome,tipo_imagem
"1.MSA_SQU Fotomontagem aerea com insercao do empreendimento em terreno real angulo 1",Fachada
"2.MSA_SQU Fotomontagem aerea com insercao do empreendimento em terreno real angulo 2",Fachada
"3.MSA_SQU Fachada no angulo do observador",Fachada
"4.MSA_SQU Embasamento mostrando area comercial",Fachada
"5.MSA_SQU Hall de entrada","Imagem Interna"
"6.MSA_SQU Salao de festas a definir (1 ou 2) Qual ficar maior e melhor","Imagem Interna"
"7.MSA_SQU Sala de jogos / PUB","Imagem Interna"
"8.MSA_SQU Academia","Imagem Interna"
"9.MSA_SQU Quiosque Piscina","Imagem Interna"
"10.MSA_SQU Brinquedoteca","Imagem Interna"
"11.MSA_SQU Piscina","Imagem Externa"
"12.MSA_SQU Lounge Ofuro","Imagem Externa"
"13.MSA_SQU Living do apartamento tipo (unidade a definir)",Unidade
"14.MSA_SQU Suite do apartamento tipo (unidade a definir)",Unidade
"15.MSA_SQU Sacada com vista real do apartamento face rua Dorvalino",Unidade
"16.MSA_SQU Sacada com vista real do apartamento face rua Dorvalino",Unidade
"17.MSA_SQU Sacada com vista real do apartamento face rua Dorvalino",Unidade
"18.MSA_SQU Planta humanizada implantacao geral mostrando o pavimento terreo","Planta Humanizada"
"19.MSA_SQU Planta humanizada do pavimento lazer","Planta Humanizada"
"20.MSA_SQU Planta humanizada do pavimento tipo","Planta Humanizada"
"1.AYA_CAS Portaria",Fachada
"2.AYA_CAS Boulevard entre casas","Imagem Externa"
"3.AYA_CAS Fotomontagem aerea",Fachada
"4.AYA_CAS Implantacao",Fachada
"5.AYA_CAS Casa fundos",Fachada
"6.AYA_CAS Living olhando para fora angulo 1",Unidade
"7.AYA_CAS Living olhando para fora angulo 2",Unidade
"8.AYA_CAS Fachada aerea",Fachada
"9.AYA_CAS Suite casa nova olhando para copa das arvores","Imagem Interna"
"1.RDO_VIL Fachada diurna",Fachada
"2.RDO_VIL Fachada noturna",Fachada
"3.RDO_VIL Fachada com aproximacao do portico",Fachada
"4.RDO_VIL Imagem de drone com a fachada aplicada (temos essa imagem).",Fachada
"5.RDO_VIL Hall de entrada","Imagem Interna"
"6.RDO_VIL Business","Imagem Interna"
"7.RDO_VIL Salao de festas","Imagem Interna"
"8.RDO_VIL Gourmet","Imagem Interna"
"9.RDO_VIL Varanda","Imagem Interna"
"10.RDO_VIL Pub","Imagem Interna"
"11.RDO_VIL Sala de jogos","Imagem Interna"
"12.RDO_VIL Teens","Imagem Interna"
"13.RDO_VIL Kids","Imagem Interna"
"14.RDO_VIL Play+Petplace (externo)","Imagem Externa"
"15.RDO_VIL Piscina aquecida","Imagem Externa"
"16.RDO_VIL Spa","Imagem Externa"
"17.RDO_VIL Academia","Imagem Interna"
"18.RDO_VIL Market","Imagem Interna"
"19.RDO_VIL Quiosque+quadra","Imagem Externa"
"20.RDO_VIL Fireplace + horta","Imagem Externa"
"21.RDO_VIL Car Care/Vagas verdes","Imagem Interna"
"22.RDO_VIL Bicicletario","Imagem Interna"
"23.RDO_VIL Living de um apartamento",Unidade
"24.RDO_VIL Planta humanizada do pavimento lazer","Planta Humanizada"
"1.PHA_NET Fotomontagem 1",Fachada
"2.PHA_NET Fotomontagem 2",Fachada
"3.PHA_NET Fotomontagem foco 20",Fachada
"4.PHA_NET Fachada observador",Fachada
"5.PHA_NET Embasamento frontal",Fachada
"6.PHA_NET Fachada diurna",Fachada
"7.PHA_NET Fachada angular noturna",Fachada
"8.PHA_NET Boulevard 1","Imagem Externa"
"9.PHA_NET Boulevard 2","Imagem Externa"
"10.PHA_NET Boulevard Noturno","Imagem Externa"
"11.PHA_NET Hall entrada + mini market","Imagem Interna"
"12.PHA_NET Piscina adulto","Imagem Externa"
"13.PHA_NET Area deck","Imagem Externa"
"14.PHA_NET Piscina infantil","Imagem Externa"
"15.PHA_NET SPA/Sauna","Imagem Interna"
"16.PHA_NET Academia","Imagem Interna"
"17.PHA_NET Brinquedoteca","Imagem Interna"
"18.PHA_NET Salao festas","Imagem Interna"
"19.PHA_NET Gourmet","Imagem Interna"
"20.PHA_NET Lounge gourmet","Imagem Interna"
"21.PHA_NET Lamina agua","Imagem Externa"
"22.PHA_NET Area fogo","Imagem Externa"
"23.PHA_NET Playground","Imagem Externa"
"24.PHA_NET Lounge externo","Imagem Externa"
"25.PHA_NET Coworking","Imagem Interna"
"26.PHA_NET Wine bar","Imagem Interna"
"27.PHA_NET Sala de jogos","Imagem Interna"
"28.PHA_NET Planta baixa lazer","Planta Humanizada"
"29.PHA_NET Planta baixa mezanino","Planta Humanizada"
"30.PHA_NET Planta baixa 8-19 (Referente ao pavimento 11/12)","Planta Humanizada"
"31.PHA_NET Living apto K fechada",Unidade
"32.PHA_NET Living apto F aberta",Unidade
"33.PHA_NET Planta baixa 20","Planta Humanizada"
