Mês;Função;Quantidade
2025-01;Caderno;50
2025-01;"Filtro de assets";55
2025-01;Modelagem;68
2025-01;Composição;31
2025-01;Pós-produção;32
2025-01;Alteração;63
2025-02;Caderno;19
2025-02;"Filtro de assets";65
2025-02;Modelagem;42
2025-02;Composição;79
2025-02;Pós-produção;82
2025-02;Alteração;69
2025-03;Caderno;19
2025-03;"Filtro de assets";33
2025-03;Modelagem;35
2025-03;Composição;56
2025-03;Pós-produção;87
2025-03;Alteração;23
2025-04;Caderno;27
2025-04;"Filtro de assets";28
2025-04;Modelagem;44
2025-04;Composição;45
2025-04;Pós-produção;46
2025-04;Alteração;6
2025-05;Caderno;18
2025-05;"Filtro de assets";39
2025-05;Modelagem;52
2025-05;Composição;62
2025-05;Pós-produção;101
2025-05;Alteração;6
2025-06;Caderno;24
2025-06;"Filtro de assets";51
2025-06;Modelagem;48
2025-06;Composição;53
2025-06;Pós-produção;64
2025-06;Alteração;14
2025-07;Caderno;31
2025-07;"Filtro de assets";36
2025-07;Modelagem;65
2025-07;Composição;50
2025-07;Pós-produção;99
2025-07;Alteração;40
2025-08;Caderno;8
2025-08;"Filtro de assets";20
2025-08;Modelagem;42
2025-08;Composição;55
2025-08;Pós-produção;91
2025-08;Alteração;52
2025-09;Caderno;28
2025-09;"Filtro de assets";28
2025-09;Modelagem;43
2025-09;Composição;45
2025-09;Pós-produção;100
2025-09;Alteração;60
2025-10;Caderno;26
2025-10;"Filtro de assets";44
2025-10;Modelagem;67
2025-10;Composição;79
2025-10;Pós-produção;163
2025-10;Alteração;142
2025-11;Caderno;37
2025-11;"Filtro de assets";33
2025-11;Modelagem;44
2025-11;Composição;57
2025-11;Pós-produção;148
2025-11;Alteração;149
2025-12;Caderno;10
2025-12;"Filtro de assets";22
2025-12;Modelagem;29
2025-12;Composição;53
2025-12;Pós-produção;95
2025-12;Alteração;99
2026-01;Caderno;19
2026-01;"Filtro de assets";42
2026-01;Modelagem;59
2026-01;Composição;55
2026-01;Pós-produção;73
2026-01;Alteração;54
2026-02;Caderno;14
2026-02;"Filtro de assets";25
2026-02;Modelagem;31
2026-02;Composição;44
2026-02;Pós-produção;138
2026-02;Alteração;34
2026-03;Caderno;37
2026-03;"Filtro de assets";41
2026-03;Modelagem;38
2026-03;Composição;75
2026-03;Pós-produção;136
2026-03;Alteração;78
2026-04;Caderno;18
2026-04;"Filtro de assets";49
2026-04;Modelagem;38
2026-04;Composição;72
2026-04;Pós-produção;110
2026-04;Alteração;108
2026-05;Caderno;3
2026-05;"Filtro de assets";22
2026-05;Modelagem;37
2026-05;Composição;51
2026-05;Pós-produção;136
2026-05;Alteração;78
2026-06;Caderno;1
2026-06;"Filtro de assets";5
2026-06;Modelagem;5
2026-06;Composição;34
2026-06;Pós-produção;133
2026-06;Alteração;131
2026-07;Caderno;5
2026-07;"Filtro de assets";15
2026-07;Modelagem;14
2026-07;Composição;14
2026-07;Pós-produção;150
2026-07;Alteração;155
2026-08;Caderno;16
2026-08;"Filtro de assets";16
2026-08;Modelagem;44
2026-08;Composição;36
2026-08;Pós-produção;117
2026-08;Alteração;113
