Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
 1. debug_upload_0.pdf             —    19713 linhas  /     1 arquivos
 2. Dashboard/scriptObra.js        —     8474 linhas  /     1 arquivos
 3. package-lock.json              —     6688 linhas  /     1 arquivos
 4. Backup/backup_completo_2026-01-17.sql —     4733 linhas  /     1 arquivos
 5. Backup/backup_completo_2026-01-18.sql —     4733 linhas  /     1 arquivos
 6. Backup/backup_completo_2026-01-19.sql —     4733 linhas  /     1 arquivos
 7. Backup/backup_completo_2026-01-16.sql —     4732 linhas  /     1 arquivos
 8. Backup/backup_completo_2026-01-15.sql —     4730 linhas  /     1 arquivos
 9. debug_upload_2.pdf             —     4128 linhas  /     1 arquivos
10. Dashboard/scriptObra2.js       —     3818 linhas  /     1 arquivos
11. PaginaPrincipal/scriptIndex.js —     3759 linhas  /     1 arquivos
12. Dashboard/styleObra.css        —     3410 linhas  /     1 arquivos
13. PaginaPrincipal/styleIndex.css —     3042 linhas  /     1 arquivos
14. PaginaPrincipal/scriptIndex2.js —     3033 linhas  /     1 arquivos
15. Dashboard/obra.php             —     2228 linhas  /     1 arquivos
16. debug_upload_1.pdf             —     2195 linhas  /     1 arquivos
17. script/script.js               —     2179 linhas  /     1 arquivos
18. FlowReview/script.js           —     2149 linhas  /     1 arquivos
19. Revisao/script.js              —     2008 linhas  /     1 arquivos
20. FlowReview/style.css           —     1991 linhas  /     1 arquivos
21. css/styleMain.css              —     1755 linhas  /     1 arquivos
22. Revisao/style.css              —     1679 linhas  /     1 arquivos
23. assets/teste.pdf               —     1493 linhas  /     1 arquivos
24. Arquivos/upload.php            —     1287 linhas  /     1 arquivos
25. Pagamento/script.js            —     1259 linhas  /     1 arquivos
26. Dashboard/obra2.php            —     1177 linhas  /     1 arquivos
27. assets/download.pdf            —     1134 linhas  /     1 arquivos
28. main.php                       —     1082 linhas  /     1 arquivos
29. gif/assinatura_preto.gif       —      972 linhas  /     1 arquivos
30. review/styleImagens.css        —      925 linhas  /     1 arquivos
31. scripts/upload_worker.php      —      880 linhas  /     1 arquivos
32. GANTT/script.js                —      868 linhas  /     1 arquivos
33. script/notificacoes.js         —      857 linhas  /     1 arquivos
34. Entregas/script.js             —      822 linhas  /     1 arquivos
35. Revisao/vendor/composer/installed.json —      788 linhas  /     1 arquivos
36. review/scriptImagens.js        —      787 linhas  /     1 arquivos
37. Revisao/composer.lock          —      771 linhas  /     1 arquivos
38. Pos-Producao/scriptPos.js      —      677 linhas  /     1 arquivos
39. vendor/composer/installed.json —      672 linhas  /     1 arquivos
40. lines_report.txt               —      668 linhas  /     1 arquivos
41. composer.lock                  —      655 linhas  /     1 arquivos
42. Gestao/style.css               —      636 linhas  /     1 arquivos
43. Gestao/script.js               —      630 linhas  /     1 arquivos
44. Dashboard/simular_gantt2.php   —      595 linhas  /     1 arquivos
45. notificacoes/style.css         —      585 linhas  /     1 arquivos
46. inicio2.php                    —      582 linhas  /     1 arquivos
47. inicio.php                     —      581 linhas  /     1 arquivos
48. Backup/backup_tabelas_2026-01-19_16-00-01.sql —      580 linhas  /     1 arquivos
49. Revisao/vendor/composer/ClassLoader.php —      579 linhas  /     1 arquivos
50. ScriptArquivos/vendor/composer/ClassLoader.php —      579 linhas  /     1 arquivos
51. vendor/composer/ClassLoader.php —      579 linhas  /     1 arquivos
52. uploadFinal.php                —      575 linhas  /     1 arquivos
53. Render/script.js               —      566 linhas  /     1 arquivos
54. Projetos/script.js             —      559 linhas  /     1 arquivos
55. Pagamento/updatePagamento.php  —      558 linhas  /     1 arquivos
56. Dashboard/simular_gantt.php    —      557 linhas  /     1 arquivos
57. Pagamento/style.css            —      554 linhas  /     1 arquivos
58. Arquivos/script.js             —      553 linhas  /     1 arquivos
59. notificacoes/index.php         —      543 linhas  /     1 arquivos
60. Revisao/revisarTarefa.php      —      532 linhas  /     1 arquivos
61. Pos-Producao/stylePos.css      —      527 linhas  /     1 arquivos
62. Dashboard/style.css            —      512 linhas  /     1 arquivos
63. Dashboard/atualizar_prazo.php  —      502 linhas  /     1 arquivos
64. Render/style.css               —      444 linhas  /     1 arquivos
65. CHANGELOG/Flow/imagens/copiar_caminho.png —      439 linhas  /     1 arquivos
66. Dashboard/infosObra.php        —      436 linhas  /     1 arquivos
67. upload_test.html               —      431 linhas  /     1 arquivos
68. Entregas/style.css             —      428 linhas  /     1 arquivos
69. PainelProducao/script.js       —      412 linhas  /     1 arquivos
70. FlowReview/salvar_decisao.php  —      411 linhas  /     1 arquivos
71. gif/assinatura_branco.gif      —      407 linhas  /     1 arquivos
72. Animacao/script.js             —      406 linhas  /     1 arquivos
73. PaginaPrincipal/getFuncoesPorColaborador.php —      404 linhas  /     1 arquivos
74. css/briefing_arquivos.css      —      396 linhas  /     1 arquivos
75. CHANGELOG/Flow/SOE.html        —      381 linhas  /     1 arquivos
76. TelaGerencial/script.js        —      380 linhas  /     1 arquivos
77. Dashboard/index.php            —      375 linhas  /     1 arquivos
78. FlowTrack/Report/script.js     —      371 linhas  /     1 arquivos
79. Revisao/vendor/composer/InstalledVersions.php —      362 linhas  /     1 arquivos
80. ScriptArquivos/vendor/composer/InstalledVersions.php —      362 linhas  /     1 arquivos
81. vendor/composer/InstalledVersions.php —      362 linhas  /     1 arquivos
82. PainelProducao/style.css       —      355 linhas  /     1 arquivos
83. Dashboard/script.js            —      354 linhas  /     1 arquivos
84. Dashboard/importarImagensTxt.php —      351 linhas  /     1 arquivos
85. Planner/style.css              —      350 linhas  /     1 arquivos
86. PaginaPrincipal/getInfosCard.php —      348 linhas  /     1 arquivos
87. Pos-Producao/index2.php        —      341 linhas  /     1 arquivos
88. Pagamento/getColaborador.php   —      339 linhas  /     1 arquivos
89. Briefing/index.html            —      338 linhas  /     1 arquivos
90. scripts/txt_importer/process_txt.py —      337 linhas  /     1 arquivos
91. css/styleMetas.css             —      334 linhas  /     1 arquivos
92. upload_enqueue.php             —      331 linhas  /     1 arquivos
93. Entregas/registrar_entrega.php —      330 linhas  /     1 arquivos
94. FlowReferencias/script.js      —      330 linhas  /     1 arquivos
95. Pos-Producao/index.php         —      324 linhas  /     1 arquivos
96. CHANGELOG/Flow/Notificacoes-Lembretes.html —      322 linhas  /     1 arquivos
97. GANTT/style.css                —      321 linhas  /     1 arquivos
98. css/styleAnimacao.css          —      321 linhas  /     1 arquivos
99. Arquivos/style.css             —      320 linhas  /     1 arquivos
100. SOE/data/index.html            —      320 linhas  /     1 arquivos
101. script/scriptDashboard.js      —      320 linhas  /     1 arquivos
102. FlowTrack/Report/style.css     —      308 linhas  /     1 arquivos
103. Dashboard/README_atualizar_prazo.html —      307 linhas  /     1 arquivos
104. Animacao/index.php             —      305 linhas  /     1 arquivos
105. Pagamento/mark_finalizacao_parcial.php —      305 linhas  /     1 arquivos
106. ML/teste.py                    —      303 linhas  /     1 arquivos
107. Imagens/style.css              —      301 linhas  /     1 arquivos
108. notificacao_modulo_status.php  —      301 linhas  /     1 arquivos
109. assets/teste.zip               —      300 linhas  /     1 arquivos
110. Arquivos/visualizar_pdf_log.php —      299 linhas  /     1 arquivos
111. Arquivos/visualizar_pdf.php    —      294 linhas  /     1 arquivos
112. Gestao/index.php               —      293 linhas  /     1 arquivos
113. ML/doc/metric_tempo_R00.html   —      292 linhas  /     1 arquivos
114. notificacoes/script.js         —      290 linhas  /     1 arquivos
115. PaginaPrincipal/Overview/style.css —      288 linhas  /     1 arquivos
116. FlowReview/atualizar.php       —      283 linhas  /     1 arquivos
117. Arquitetura/index.php          —      282 linhas  /     1 arquivos
118. scripts/corrigir_acomp_duplicados.php —      281 linhas  /     1 arquivos
119. thumb.php                      —      281 linhas  /     1 arquivos
120. infos.php                      —      278 linhas  /     1 arquivos
121. Arquitetura/script.js          —      277 linhas  /     1 arquivos
122. Entregas/styleCard.css         —      269 linhas  /     1 arquivos
123. notificacoes/_common.php       —      269 linhas  /     1 arquivos
124. Custos/script.js               —      264 linhas  /     1 arquivos
125. Metas/index.php                —      264 linhas  /     1 arquivos
126. Pagamento/index.php            —      262 linhas  /     1 arquivos
127. Dashboard/briefing_arquivos_save.php —      261 linhas  /     1 arquivos
128. FlowReview/index.php           —      261 linhas  /     1 arquivos
129. Dashboard/add_fotografico_registro.php —      260 linhas  /     1 arquivos
130. Revisao/index.php              —      258 linhas  /     1 arquivos
131. Arquivos/index.php             —      254 linhas  /     1 arquivos
132. css/styleArquitetura.css       —      253 linhas  /     1 arquivos
133. FlowTrack/Radar/radar_data.php —      252 linhas  /     1 arquivos
134. ScriptArquivos/composer.lock   —      251 linhas  /     1 arquivos
135. flow-radar-opportunities.php   —      250 linhas  /     1 arquivos
136. review/teste/style.css         —      249 linhas  /     1 arquivos
137. ScriptArquivos/vendor/composer/installed.json —      247 linhas  /     1 arquivos
138. Render/index.php               —      245 linhas  /     1 arquivos
139. TelaGerencial/buscar_producao_funcao.php —      245 linhas  /     1 arquivos
140. FlowReferencias/upload.php     —      241 linhas  /     1 arquivos
141. FlowTrack/Radar/script.js      —      235 linhas  /     1 arquivos
142. Dashboard/adicionarClienteObra.php —      234 linhas  /     1 arquivos
143. Pagamento/updateStatusPagamento.php —      234 linhas  /     1 arquivos
