appledouble,original_name,candidates_count,candidates
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._12.LD9_URB Piscinas angulo 1,12.LD9_URB Piscinas angulo 1,0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._13.LD9_URB Piscinas angulo 2,13.LD9_URB Piscinas angulo 2,0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._15.LD9_URB Kids Zone (Brinquedoteca),15.LD9_URB Kids Zone (Brinquedoteca),0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._17.LD9_URB Salao de festas Altus,17.LD9_URB Salao de festas Altus,0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._18.LD9_URB Salao de festas Kids (Espaco gourmet),18.LD9_URB Salao de festas Kids (Espaco gourmet),0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._20.LD9_URB Beauty Room (Espaco Homem),20.LD9_URB Beauty Room (Espaco Homem),0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._21.LD9_URB Salao de festas Pulse (Espaco mulher),21.LD9_URB Salao de festas Pulse (Espaco mulher),0,
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._47.LD9_URB The Scotch Lounge,47.LD9_URB The Scotch Lounge,7,C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_007.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_008.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_009.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_010.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_011.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_012.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\47.LD9_URB The Scotch Lounge\47.LD9_URB The Scotch Lounge_P00_013.jpg
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._48.LD9_URB Skyline Lounge,48.LD9_URB Skyline Lounge,6,C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_007.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_008.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_009.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_010.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_011.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\48.LD9_URB Skyline Lounge\48.LD9_URB Skyline Lounge_P00_012.jpg
C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\__MACOSX\Selecao Lazer  e Rooftop\._49.LD9_URB Wine club - terraco,49.LD9_URB Wine club - terraco,14,C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_006.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_007.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_008.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_009.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_010.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_011.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_012.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_013.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_014.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_015.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_016.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_017.jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_018.jpg (transformar em diurna).jpg;C:\Users\usuario\Downloads\Seleção Lazer  e Rooftop\Selecao Lazer  e Rooftop\49.LD9_URB Wine club - terraco\49.LD9_URB Wine club - terraco_P00_019.jpg
